id,created_at,text
568472292768014336,2015-02-19 18:08:50,b'Good piece by @maureenmfarrell in @WSJMoneyBeat re $AAPL http://t.co/9WpZYsc5AR. Many analysts still missing it. AAPL currently only 11x P/E'
565967308582297601,2015-02-12 20:14:56,b'but also about belief that shareholders have the right to voice opinions - that is what democracy is all about http://t.co/ETILUjs1pc'
565967276252622848,2015-02-12 20:14:48,b'I greatly respect $AAPL\xe2\x80\x99s Board but my comments on @CNBC not only underscore my opinion on buyback \xe2\x80\xa6'
565598397890326528,2015-02-11 19:49:01,b'Read our latest thoughts on $AAPL: http://t.co/1eW2BGMOxQ'
564903043284492289,2015-02-09 21:45:55,"b'Pleased to announce $IEP to acquire substantially all assets of Uni-Select USA, a leading auto parts distributor:\nhttp://t.co/b4hoOAGRcP'"
564789059453980672,2015-02-09 14:12:59,b'See my comments re $MTW agreement on http://t.co/rM9sehkzvg \xe2\x80\xa6Another great day for corporate governance #corpgov'
561233305761480704,2015-01-30 18:43:41,b'I\xe2\x80\x99ve written a response to the letter I received yesterday from employees of the Trump Taj Mahal.  Read it at http://t.co/ZIM2nB8Epc'
560507207973097473,2015-01-28 18:38:26,b'I\xe2\x80\x99ll be speaking with @PoppyHarlowCNN on @questCNN at 4:15pm ET.'
560481247919898625,2015-01-28 16:55:17,b'Will be talking to @ScottWapnerCNBC on @CNBC at 12:30 with Brett Icahn &amp; David Schechter to discuss our thoughts on $AAPL'
558281849580298241,2015-01-22 15:15:39,"b'I\xe2\x80\x99ll be speaking with @ScottWapnerCNBC on @CNBCFastMoney at 12:30ET.  We\xe2\x80\x99ll be discussing recent events at $EBAY, $GCI and more.'"
558256547353362433,2015-01-22 13:35:07,b'Read my letter (including other important information) to the CEO of $GCI at http://t.co/MUCKm5rujY'
558014219787198464,2015-01-21 21:32:12,b'See our comments re $EBAY agreement on http://t.co/vGoykWZEQk. It\xe2\x80\x99s a good day for corporate governance #corpgov'
553242856056696832,2015-01-08 17:32:30,b'I\xe2\x80\x99ll be on @CNBCFastMoney today at 5:30pm ET for their 8th anniversary show'
552169402494619648,2015-01-05 18:26:59,b'Good read from Dec 27 @barronsonline by @HarvardWinters re $AAPL. Supports our buyback thesis: http://t.co/UecY2rUr1Y'
545658803426181120,2014-12-18 19:16:11,"b'I\xe2\x80\x99ve written a response letter to CEO of Trump Entertainment Resorts, Bob Griffin, re the Taj. You can read it at http://t.co/FUZ9wX1nXJ'"
544588634301943808,2014-12-15 20:23:43,b'My Q &amp; A with Bloomberg\xe2\x80\x99s @BSteverman @business: http://t.co/VMoUgDgZzl'
537358698889633793,2014-11-25 21:34:32,b'Wrote an open letter to @UHLocal54 president Bob McDevitt re Taj.  Read at Shareholders\xe2\x80\x99 Square Table: http://t.co/i2QHNENS8W'
537297803597606913,2014-11-25 17:32:33,"b""Never met/spoke to magician Becker @nypost states I've been talking to re running the Taj. Hope &amp; believe Taj can be saved w/out a magician"""
536919043073388544,2014-11-24 16:27:29,b'.@TheEconomist asked me to write 850 words on what investors should do to profit in 2015. Here\xe2\x80\x99s what I said: http://t.co/5fUchEwADF'
535544824909537280,2014-11-20 21:26:50,b'Believe $HTZ has hired an excellent CEO \xe2\x80\x93 read company\xe2\x80\x99s press release: http://t.co/Q73Nz1vYdm'
535143675161247744,2014-11-19 18:52:49,b'Take a look at this letter sent by the Taj to its employees. @UHLocal54 continues to misrepresent the facts:  http://t.co/AjqjXReRPE'
531918982899843072,2014-11-10 21:19:02,b'Excellent letter just issued by Trump Taj Mahal to its employees. Sums it all up: http://t.co/kItCUniwof'
526776646544949248,2014-10-27 16:45:14,b'Good editorial in the Press of Atlantic City.  Sums up situation well.   http://t.co/6WTXVN1pzU \n#acpress #savetheTajnow'
525640851897483265,2014-10-24 13:31:59,b'Glad Taj employees stopped listening to Union leaders who don\xe2\x80\x99t care about their jobs. #savetheTajnow http://t.co/nr7kWJcHGy'
525640738902908929,2014-10-24 13:31:32,b'Understand Taj employees are asking @GovChristie &amp; Senator Sweeney to help save their jobs. #savetheTajnow'
525603616611401728,2014-10-24 11:04:02,b'Just issued letter to Taj Local 54 Employees: http://t.co/nr7kWJcHGy'
525320443612647425,2014-10-23 16:18:48,b'Had a good conversation with @SRuhle @BloombergTV #RHInvestors http://t.co/qelE87GhAn'
525319368214081536,2014-10-23 16:14:32,b'Nice time speaking with @scottwapnercnbc @cnbc #RHInvestors http://t.co/XBsNsyA4bz'
525319058158551040,2014-10-23 16:13:18,b'Enjoyed participating in the #shareholderactivism panel at the @robinhoodnyc #RHInvestors conference on Tuesday \xe2\x80\x93 a great cause.'
